Model,Puzzles Games,Spatial,Recognition,Multi,Diagrams,Geo,Academic,Memes,Overall
gemini-2.5-flash-thinking,28.0 ± 6.6,32.9 ± 3.2,45.8 ± 1.3,44.2 ± 1.4,57.0 ± 2.6,58.0 ± 3.5,67.6 ± 4.3,66.7 ± 2.4,50.4 ± 1.3
gpt-4-1,26.5 ± 3.3,37.1 ± 3.5,54.2 ± 4.7,57.5 ± 4.3,48.1 ± 3.8,60.8 ± 0.6,49.3 ± 2.2,67.5 ± 4.9,50.1 ± 1.5
o4-mini-medium,37.9 ± 4.5,32.1 ± 6.5,34.8 ± 2.1,54.2 ± 3.6,49.4 ± 2.1,49.4 ± 2.0,65.5 ± 2.2,78.3 ± 2.9,49.9 ± 1.4
o4-mini-low,37.1 ± 4.5,31.4 ± 3.5,40.2 ± 2.5,43.3 ± 7.1,48.1 ± 3.8,47.7 ± 3.1,57.4 ± 5.2,75.8 ± 3.6,47.4 ± 1.3
gemini-2.5-flash,23.5 ± 5.4,36.4 ± 2.4,39.4 ± 1.9,46.7 ± 2.4,52.7 ± 1.7,54.3 ± 1.5,61.5 ± 2.2,50.0 ± 8.2,46.1 ± 1.5
qwen3-vl-235b-a22b-instruct,21.2 ± 0.0,42.9 ± 0.0,25.8 ± 0.0,53.3 ± 0.0,48.7 ± 0.0,47.7 ± 0.0,67.6 ± 0.0,46.7 ± 0.0,44.5 ± 0.0
qwen3-vl-235b-a22b-thinking,31.2 ± 0.0,37.1 ± 0.0,27.3 ± 0.0,40.0 ± 0.0,53.8 ± 0.0,37.5 ± 0.0,71.4 ± 0.0,56.7 ± 0.0,44.2 ± 0.0
grok-4,34.1 ± 2.5,23.6 ± 3.7,35.4 ± 4.0,52.7 ± 4.9,21.2 ± 5.6,39.2 ± 1.7,56.8 ± 5.1,85.0 ± 3.7,42.3 ± 1.6
gpt-5-minimal,24.2 ± 3.7,29.3 ± 3.1,46.2 ± 3.3,51.7 ± 3.7,25.6 ± 4.1,63.9 ± 2.3,29.7 ± 5.1,63.3 ± 4.1,41.7 ± 0.7
step-3,29.5 ± 9.4,27.7 ± 2.5,35.0 ± 5.3,42.5 ± 2.8,25.6 ± 3.6,58.2 ± 4.4,55.9 ± 2.6,53.8 ± 4.5,41.5 ± 1.5
claude-sonnet-4-thinking,27.3 ± 4.8,26.4 ± 3.1,22.7 ± 1.1,33.3 ± 5.3,48.7 ± 3.1,27.6 ± 0.5,68.2 ± 2.9,54.2 ± 6.0,38.6 ± 1.2
qwen-vl-max-2025-08-13,32.7 ± 2.7,29.3 ± 4.7,27.7 ± 3.5,45.8 ± 3.6,46.2 ± 1.8,26.4 ± 3.0,61.6 ± 1.0,34.2 ± 7.2,37.8 ± 1.7
ernie-4.5-vl-424b-a47b,16.2 ± 2.6,30.0 ± 6.2,31.1 ± 5.0,36.7 ± 7.5,40.4 ± 2.1,38.4 ± 2.2,50.0 ± 4.9,50.0 ± 3.3,36.8 ± 2.0
claude-sonnet-4,25.8 ± 2.6,27.9 ± 2.4,17.0 ± 0.7,29.2 ± 2.8,44.9 ± 2.2,32.1 ± 2.0,58.1 ± 2.3,47.5 ± 2.8,35.6 ± 0.9
glm-4.5v,15.9 ± 3.3,38.6 ± 3.2,18.2 ± 1.5,45.0 ± 3.7,35.9 ± 6.3,39.8 ± 2.5,47.3 ± 8.0,29.2 ± 4.3,34.2 ± 1.4
hunyuan-t1-vision-20250619,17.4 ± 3.9,29.3 ± 3.1,34.8 ± 3.4,25.0 ± 3.7,30.8 ± 6.0,41.8 ± 3.0,50.0 ± 2.3,31.7 ± 2.9,33.2 ± 1.6
Qwen2.5-VL-72B,8.3 ± 3.9,28.6 ± 0.0,25.8 ± 2.6,33.3 ± 0.0,41.9 ± 1.4,28.7 ± 1.5,37.8 ± 0.0,23.3 ± 0.0,28.8 ± 0.2
llama-4-maverick,13.6 ± 3.4,27.9 ± 5.1,15.2 ± 2.8,31.7 ± 3.7,39.1 ± 2.1,29.5 ± 0.8,43.9 ± 4.8,19.2 ± 1.4,28.1 ± 0.9
QVQ-72B,17.7 ± 1.6,17.1 ± 2.0,12.1 ± 1.4,27.5 ± 2.8,37.8 ± 1.9,33.5 ± 3.1,41.9 ± 5.9,19.0 ± 1.7,26.7 ± 1.5
mistral-medium-3-1,15.9 ± 6.9,22.9 ± 4.5,16.7 ± 4.7,20.0 ± 4.1,27.6 ± 3.3,28.4 ± 2.4,48.0 ± 7.5,27.5 ± 6.0,26.3 ± 0.5
mistral-medium-3,15.9 ± 3.9,25.7 ± 7.3,15.9 ± 2.3,25.0 ± 6.9,26.9 ± 5.3,30.1 ± 3.1,41.9 ± 3.0,22.5 ± 1.4,26.0 ± 0.8
Qwen2.5-VL-7B,8.3 ± 4.5,22.9 ± 4.0,13.6 ± 3.4,18.3 ± 5.0,14.2 ± 6.7,22.4 ± 2.8,20.9 ± 2.2,13.3 ± 4.1,17.1 ± 1.3
